date,equity,unrealized_pnl
2025-03-14,5000.0,0.0
2025-03-17,5000.0,0.0
2025-03-18,5000.0,0.0
2025-03-19,5000.0,0.0
2025-03-20,5000.0,0.0
2025-03-21,5000.0,0.0
2025-03-24,5000.0,0.0
2025-03-25,5000.0,0.0
2025-03-26,5000.0,0.0
2025-03-27,5000.0,0.0
2025-03-28,5000.0,0.0
2025-03-31,5000.0,0.0
2025-04-01,5000.0,0.0
2025-04-02,5000.0,0.0
2025-04-03,5000.0,0.0
2025-04-04,5000.0,0.0
2025-04-07,5000.0,0.0
2025-04-08,5000.0,0.0
2025-04-09,5000.0,0.0
2025-04-10,5000.0,0.0
2025-04-11,5000.0,0.0
2025-04-14,5000.0,0.0
2025-04-15,5083.23,0.0
2025-04-16,5158.23,0.0
2025-04-17,5158.23,0.0
2025-04-21,5158.23,0.0
2025-04-22,5103.99,-54.23
2025-04-23,4924.39,0.0
2025-04-24,4924.39,0.0
2025-04-25,4924.39,0.0
2025-04-28,4924.39,0.0
2025-04-29,4999.31,0.0
2025-04-30,5065.8,0.0
2025-05-01,5065.8,0.0
2025-05-02,5065.8,0.0
2025-05-05,5065.8,0.0
2025-05-06,5018.76,-47.03
2025-05-07,5123.32,57.52
2025-05-08,5143.64,0.0
2025-05-09,5143.64,0.0
2025-05-12,5143.64,0.0
2025-05-13,5213.56,0.0
2025-05-14,5272.7,0.0
2025-05-15,5272.7,0.0
2025-05-16,5272.7,0.0
2025-05-19,5272.7,0.0
2025-05-20,5338.64,0.0
2025-05-21,5001.87,0.0
2025-05-22,5001.87,0.0
2025-05-23,5001.87,0.0
2025-05-27,5001.87,0.0
2025-05-28,5065.95,0.0
2025-05-29,5065.95,0.0
2025-05-30,5065.95,0.0
2025-06-02,5065.95,0.0
2025-06-03,5134.7,0.0
2025-06-04,5197.73,0.0
2025-06-05,5197.73,0.0
2025-06-06,5197.73,0.0
2025-06-09,5197.73,0.0
2025-06-10,5266.96,0.0
2025-06-11,5328.79,61.83
2025-06-12,5325.45,0.0
2025-06-13,5325.45,0.0
2025-06-16,5325.45,0.0
2025-06-17,5279.67,-45.78
2025-06-18,5337.13,11.67
2025-06-20,5367.33,41.87
2025-06-23,5391.61,0.0
2025-06-24,5460.95,0.0
2025-06-25,5526.24,0.0
2025-06-26,5526.24,0.0
2025-06-27,5526.24,0.0
2025-06-30,5526.24,0.0
2025-07-01,5565.91,39.66
2025-07-02,5592.61,0.0
2025-07-03,5592.61,0.0
2025-07-07,5592.61,0.0
2025-07-08,5567.83,-24.78
2025-07-09,5664.62,0.0
2025-07-10,5664.62,0.0
2025-07-11,5664.62,0.0
2025-07-14,5664.62,0.0
2025-07-15,5680.15,15.53
2025-07-16,5728.38,0.0
2025-07-17,5728.38,0.0
2025-07-18,5728.38,0.0
2025-07-21,5728.38,0.0
2025-07-22,5764.52,36.14
2025-07-23,5791.51,0.0
2025-07-24,5791.51,0.0
2025-07-25,5791.51,0.0
2025-07-28,5791.51,0.0
2025-07-29,5756.34,-35.17
2025-07-30,5781.58,-9.93
2025-07-31,5740.71,0.0
2025-08-01,5740.71,0.0
2025-08-04,5740.71,0.0
2025-08-05,5750.27,9.55
2025-08-06,5678.68,-62.03
2025-08-07,5764.97,0.0
2025-08-08,5764.97,0.0
2025-08-11,5764.97,0.0
2025-08-12,5825.88,0.0
2025-08-13,5886.22,0.0
2025-08-14,5886.22,0.0
2025-08-15,5886.22,0.0
2025-08-18,5886.22,0.0
2025-08-19,5844.74,-41.48
2025-08-20,5829.7,-56.52
2025-08-21,5760.87,0.0
2025-08-22,5760.87,0.0
2025-08-25,5760.87,0.0
2025-08-26,5815.34,54.47
2025-08-27,5822.01,0.0
2025-08-28,5822.01,0.0
2025-08-29,5822.01,0.0
2025-09-02,5822.01,0.0
