id,order_id,timestamp,event_type,status,filled,remaining,avg_fill_price,message
1,4105,2025-11-04T21:50:08.943478,PLACED,Placed,,,,"BUY 1 ES"
2,4105,2025-11-04T21:50:09.132290,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
3,4105,2025-11-04T21:50:09.141761,EXECUTION,,,,,"Filled 1.0 @ 6802.75"
4,4105,2025-11-04T21:50:09.143785,STATUS_UPDATE,Filled,1,0,6802.75,"Status: Filled"
5,4125,2025-11-04T21:50:59.625806,PLACED,Placed,,,,"BUY 1 ES"
6,4125,2025-11-04T21:50:59.681663,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
7,4125,2025-11-04T21:50:59.687053,EXECUTION,,,,,"Filled 1.0 @ 6802.75"
8,4125,2025-11-04T21:50:59.689351,STATUS_UPDATE,Filled,1,0,6802.75,"Status: Filled"
9,4227,2025-11-04T21:55:39.708323,PLACED,Placed,,,,"SELL 1 ES"
10,4227,2025-11-04T21:55:39.764528,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
11,4227,2025-11-04T21:55:39.768795,EXECUTION,,,,,"Filled 1.0 @ 6807.25"
12,4227,2025-11-04T21:55:39.770136,STATUS_UPDATE,Filled,1,0,6807.25,"Status: Filled"
13,4231,2025-11-04T21:55:45.398768,PLACED,Placed,,,,"SELL 1 ES"
14,4231,2025-11-04T21:55:45.451232,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
15,4231,2025-11-04T21:55:45.454627,EXECUTION,,,,,"Filled 1.0 @ 6807.25"
16,4231,2025-11-04T21:55:45.455604,STATUS_UPDATE,Filled,1,0,6807.25,"Status: Filled"
17,4235,2025-11-04T21:55:51.090947,PLACED,Placed,,,,"BUY 1 ES"
18,4235,2025-11-04T21:55:51.142775,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
19,4235,2025-11-04T21:55:51.146849,EXECUTION,,,,,"Filled 1.0 @ 6807.50"
20,4235,2025-11-04T21:55:51.147654,STATUS_UPDATE,Filled,1,0,6807.5,"Status: Filled"
21,4361,2025-11-04T22:01:37.319456,PLACED,Placed,,,,"BUY 1 ES"
22,4361,2025-11-04T22:01:37.383926,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
23,4361,2025-11-04T22:01:37.389743,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
24,4361,2025-11-04T22:01:37.391349,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
25,4365,2025-11-04T22:01:43.044811,PLACED,Placed,,,,"BUY 1 ES"
26,4365,2025-11-04T22:01:43.093211,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
27,4365,2025-11-04T22:01:43.095695,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
28,4365,2025-11-04T22:01:43.099111,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
29,4921,2025-11-04T23:14:47.767053,PLACED,Placed,,,,"SELL 1 ES"
30,4922,2025-11-04T23:14:47.770188,PLACED,Placed,,,,"BUY 1 ES"
31,4922,2025-11-04T23:14:48.076231,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
32,4923,2025-11-04T23:14:48.078985,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
33,4921,2025-11-04T23:14:48.080601,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
34,4921,2025-11-04T23:14:48.085653,EXECUTION,,,,,"Filled 1.0 @ 6797.00"
35,4921,2025-11-04T23:14:48.087198,STATUS_UPDATE,Filled,1,0,6797.0,"Status: Filled"
36,4922,2025-11-04T23:14:48.088716,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
37,4923,2025-11-04T23:14:48.090001,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
38,4922,2025-11-04T23:14:48.091388,STATUS_UPDATE,Submitted,0,1,,"Status: Submitted"
39,4984,2025-11-04T23:35:14.858207,PLACED,Placed,,,,"BUY 1 ES"
40,4984,2025-11-04T23:35:15.337394,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
41,4984,2025-11-04T23:35:15.343838,EXECUTION,,,,,"Filled 1.0 @ 6797.25"
42,4984,2025-11-04T23:35:15.345698,STATUS_UPDATE,Filled,1,0,6797.25,"Status: Filled"
43,5047,2025-11-04T23:49:30.524073,PLACED,Placed,,,,"BUY 1 ES"
44,5047,2025-11-04T23:49:30.644761,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
45,5047,2025-11-04T23:49:30.656074,EXECUTION,,,,,"Filled 1.0 @ 6793.75"
46,5047,2025-11-04T23:49:30.658705,STATUS_UPDATE,Filled,1,0,6793.75,"Status: Filled"
47,5109,2025-11-04T23:52:18.968636,PLACED,Placed,,,,"SELL 1 ES"
48,5109,2025-11-04T23:52:19.034461,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
49,5109,2025-11-04T23:52:19.040007,EXECUTION,,,,,"Filled 1.0 @ 6794.25"
50,5109,2025-11-04T23:52:19.042006,STATUS_UPDATE,Filled,1,0,6794.25,"Status: Filled"
51,5157,2025-11-04T23:54:28.180348,PLACED,Placed,,,,"SELL 1 ES"
52,5157,2025-11-04T23:54:28.247512,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
53,5157,2025-11-04T23:54:28.256066,EXECUTION,,,,,"Filled 1.0 @ 6794.00"
54,5157,2025-11-04T23:54:28.259080,STATUS_UPDATE,Filled,1,0,6794.0,"Status: Filled"
55,5339,2025-11-05T00:02:52.931992,PLACED,Placed,,,,"BUY 1 ES"
56,5339,2025-11-05T00:02:52.991271,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
57,5339,2025-11-05T00:02:52.997008,EXECUTION,,,,,"Filled 1.0 @ 6790.75"
58,5339,2025-11-05T00:02:52.998936,STATUS_UPDATE,Filled,1,0,6790.75,"Status: Filled"
59,4923,2025-11-05T00:03:55.061209,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
60,4922,2025-11-05T00:03:55.067070,EXECUTION,,,,,"Filled 1.0 @ 6789.00"
61,4922,2025-11-05T00:03:55.069470,STATUS_UPDATE,Filled,1,0,6789.0,"Status: Filled"
62,5373,2025-11-05T00:04:22.814451,PLACED,Placed,,,,"SELL 1 ES"
63,5373,2025-11-05T00:04:22.876322,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
64,5373,2025-11-05T00:04:22.883495,EXECUTION,,,,,"Filled 1.0 @ 6787.00"
65,5373,2025-11-05T00:04:22.886282,STATUS_UPDATE,Filled,1,0,6787.0,"Status: Filled"
66,5400,2025-11-05T00:10:54.685665,PLACED,Placed,,,,"SELL 1 ES"
67,5400,2025-11-05T00:10:54.793791,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
68,5400,2025-11-05T00:10:54.800311,EXECUTION,,,,,"Filled 1.0 @ 6787.50"
69,5400,2025-11-05T00:10:54.802188,STATUS_UPDATE,Filled,1,0,6787.5,"Status: Filled"
70,5457,2025-11-05T00:26:26.032981,PLACED,Placed,,,,"BUY 1 ES"
71,5457,2025-11-05T00:26:26.140846,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
72,5457,2025-11-05T00:26:26.152003,EXECUTION,,,,,"Filled 1.0 @ 6783.25"
73,5457,2025-11-05T00:26:26.154686,STATUS_UPDATE,Filled,1,0,6783.25,"Status: Filled"
74,5461,2025-11-05T00:26:31.810339,PLACED,Placed,,,,"BUY 1 ES"
75,5461,2025-11-05T00:26:31.864567,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
76,5461,2025-11-05T00:26:31.870039,EXECUTION,,,,,"Filled 1.0 @ 6783.00"
77,5461,2025-11-05T00:26:31.872082,STATUS_UPDATE,Filled,1,0,6783.0,"Status: Filled"
78,5499,2025-11-05T00:34:40.771885,PLACED,Placed,,,,"SELL 1 ES"
79,5499,2025-11-05T00:34:40.871636,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
80,5499,2025-11-05T00:34:40.879053,EXECUTION,,,,,"Filled 1.0 @ 6777.75"
81,5499,2025-11-05T00:34:40.881305,STATUS_UPDATE,Filled,1,0,6777.75,"Status: Filled"
82,5503,2025-11-05T00:34:46.538130,PLACED,Placed,,,,"SELL 1 ES"
83,5503,2025-11-05T00:34:46.593702,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
84,5503,2025-11-05T00:34:46.598375,EXECUTION,,,,,"Filled 1.0 @ 6778.25"
85,5503,2025-11-05T00:34:46.600070,STATUS_UPDATE,Filled,1,0,6778.25,"Status: Filled"
86,5667,2025-11-05T02:53:05.863714,PLACED,Placed,,,,"BUY 1 ES"
87,5667,2025-11-05T02:53:05.965238,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
88,5667,2025-11-05T02:53:05.975027,EXECUTION,,,,,"Filled 1.0 @ 6773.00"
89,5667,2025-11-05T02:53:05.977589,STATUS_UPDATE,Filled,1,0,6773.0,"Status: Filled"
90,5671,2025-11-05T02:53:11.649211,PLACED,Placed,,,,"BUY 1 ES"
91,5671,2025-11-05T02:53:11.707129,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
92,5671,2025-11-05T02:53:11.715841,EXECUTION,,,,,"Filled 1.0 @ 6773.75"
93,5671,2025-11-05T02:53:11.718557,STATUS_UPDATE,Filled,1,0,6773.75,"Status: Filled"
94,5796,2025-11-05T03:58:07.107118,PLACED,Placed,,,,"BUY 3 ES"
95,5796,2025-11-05T03:58:07.211579,STATUS_UPDATE,PreSubmitted,0,3,,"Status: PreSubmitted"
96,5796,2025-11-05T03:58:07.221393,EXECUTION,,,,,"Filled 3.0 @ 6793.00"
97,5796,2025-11-05T03:58:07.224011,STATUS_UPDATE,Filled,3,0,6793.0,"Status: Filled"
98,5800,2025-11-05T03:58:12.880432,PLACED,Placed,,,,"BUY 3 ES"
99,5800,2025-11-05T03:58:12.944156,STATUS_UPDATE,Inactive,0,3,,"Status: Inactive"
100,5800,2025-11-05T03:58:12.955184,STATUS_UPDATE,Cancelled,0,3,,"Status: Cancelled"
101,5800,2025-11-05T03:58:12.957333,STATUS_UPDATE,Inactive,0,3,,"Status: Inactive"
102,5804,2025-11-05T03:58:18.627261,PLACED,Placed,,,,"BUY 3 ES"
103,5804,2025-11-05T03:58:18.691592,STATUS_UPDATE,Inactive,0,3,,"Status: Inactive"
104,5804,2025-11-05T03:58:18.695442,STATUS_UPDATE,Cancelled,0,3,,"Status: Cancelled"
105,5804,2025-11-05T03:58:18.701859,STATUS_UPDATE,Inactive,0,3,,"Status: Inactive"
106,5854,2025-11-05T04:15:50.612696,PLACED,Placed,,,,"BUY 3 ES"
107,5854,2025-11-05T04:15:50.706440,STATUS_UPDATE,Inactive,0,3,,"Status: Inactive"
108,5854,2025-11-05T04:15:50.709247,STATUS_UPDATE,Cancelled,0,3,,"Status: Cancelled"
109,5854,2025-11-05T04:15:50.714455,STATUS_UPDATE,Inactive,0,3,,"Status: Inactive"
110,5974,2025-11-06T04:05:37.566754,PLACED,Placed,,,,"SELL 1 ES"
111,5975,2025-11-06T04:05:37.570420,PLACED,Placed,,,,"BUY 1 ES"
112,5975,2025-11-06T04:05:37.892803,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
113,5976,2025-11-06T04:05:37.900279,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
114,5974,2025-11-06T04:05:37.917618,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
115,5975,2025-11-06T04:05:37.929717,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
116,5974,2025-11-06T04:05:37.932120,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
117,5974,2025-11-06T04:05:37.933465,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
118,5976,2025-11-06T04:05:37.934238,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
119,5984,2025-11-06T04:05:54.490396,PLACED,Placed,,,,"BUY 1 ES"
120,5985,2025-11-06T04:05:54.492859,PLACED,Placed,,,,"SELL 1 ES"
121,5985,2025-11-06T04:05:54.742075,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
