order_id,parent_order_id,timestamp,symbol,action,quantity,order_type,limit_price,stop_price,entry_price,stop_loss,take_profit,confidence,atr,status,filled_quantity,avg_fill_price,commission,realized_pnl,created_at,updated_at,rationale,features,market_regime
34,,2025-11-07T19:45:41.948753,ES,SELL,3,MARKET,,,,6722.25,6714.75,,0.341059902016995,Filled,3,6735.25,0.0,0.0,2025-11-07T19:45:41.948753,2025-11-07T19:45:42.269752,,,
35,34,2025-11-07T19:45:41.952841,ES,BUY,3,LIMIT,6714.75,,,,,,,Cancelled,0,,,,2025-11-07T19:45:41.952841,2025-11-07T19:45:43.335835,,,
36,,2025-11-07T20:06:33.942313,ES,SELL,2,MARKET,,,,6740.5,6733.0,,0.540668504156943,Filled,2,6737.5,0.0,0.0,2025-11-07T20:06:33.942313,2025-11-07T20:06:34.266228,,,
37,36,2025-11-07T20:06:33.948005,ES,BUY,2,LIMIT,6733.0,,,,,,,Filled,2,6733.0,0.0,0.0,2025-11-07T20:06:33.948005,2025-11-07T20:07:32.416373,,,
38,36,2025-11-07T20:06:33.950276,ES,BUY,2,STOP,,6740.5,,,,,,Cancelled,0,,,,2025-11-07T20:06:33.950276,2025-11-07T20:07:32.408860,,,
39,38,2025-11-07T16:41:12.172724,ES,BUY,3,LIMIT,6667.5,,,,,,,Filled,3,6667.5,0.0,0.0,2025-11-07T16:41:12.172724,2025-11-07T16:41:41.835667,,,
40,,2025-11-07T16:56:34.346512,ES,SELL,3,MARKET,,,,6673.25,6665.75,,0.58555179311918,Filled,3,6664.5,0.0,0.0,2025-11-07T16:56:34.346512,2025-11-07T16:56:34.656784,,,
41,40,2025-11-07T16:56:34.349092,ES,BUY,3,LIMIT,6665.75,,,,,,,Filled,3,6664.75,0.0,0.0,2025-11-07T16:56:34.349092,2025-11-07T16:56:34.666063,,,
42,,2025-11-07T19:46:00.782537,ES,SELL,2,MARKET,,,,6722.5,6715.0,,0.379536344086082,Filled,2,6734.5,0.0,0.0,2025-11-07T19:46:00.782537,2025-11-07T19:46:00.939479,,,
43,42,2025-11-07T19:46:00.784404,ES,BUY,2,LIMIT,6715.0,,,,,,,Cancelled,0,,,,2025-11-07T19:46:00.784404,2025-11-07T19:46:01.291622,,,
44,42,2025-11-07T19:46:00.786278,ES,BUY,2,STOP,,6722.5,,,,,,Filled,2,6735.0,0.0,0.0,2025-11-07T19:46:00.786278,2025-11-07T19:46:01.284614,,,
46,,2025-11-07T16:56:44.862874,ES,SELL,3,MARKET,,,,6671.75,6664.25,,0.650869522182096,Filled,3,6664.75,0.0,0.0,2025-11-07T16:56:44.862874,2025-11-07T16:56:45.270405,,,
47,46,2025-11-07T16:56:44.864891,ES,BUY,3,LIMIT,6664.25,,,,,,,Filled,3,6664.25,0.0,0.0,2025-11-07T16:56:44.864891,2025-11-07T16:56:54.058640,,,
48,46,2025-11-07T16:56:44.866651,ES,BUY,3,STOP,,6671.75,,,,,,Cancelled,0,,,,2025-11-07T16:56:44.866651,2025-11-07T16:56:54.053458,,,
52,,2025-11-10T13:43:35.139279,ES,SELL,3,MARKET,,,,6822.0,6814.5,,0.16360274396971,Inactive,0,,,,2025-11-10T13:43:35.139279,2025-11-10T13:43:35.506071,,,
53,52,2025-11-10T13:43:35.150322,ES,BUY,3,LIMIT,6814.5,,,,,,,Cancelled,0,,,,2025-11-10T13:43:35.150322,2025-11-10T13:43:35.499088,,,
54,52,2025-11-10T13:43:35.152415,ES,BUY,3,STOP,,6822.0,,,,,,Cancelled,0,,,,2025-11-10T13:43:35.152415,2025-11-10T13:43:35.508707,,,
56,,2025-11-07T16:57:04.630224,ES,SELL,3,MARKET,,,,,,,,Filled,3,6663.5,0.0,0.0,2025-11-07T16:57:04.630224,2025-11-07T16:57:04.688488,,,
58,,2025-11-07T16:31:21.837380,ES,BUY,2,MARKET,,,,6674.75,6682.25,,0.460348061812262,Filled,2,6675.0,0.0,0.0,2025-11-07T16:31:21.837380,2025-11-07T16:31:22.097786,,,
59,58,2025-11-07T16:31:21.842996,ES,SELL,2,LIMIT,6682.25,,,,,,,Cancelled,0,,,,2025-11-07T16:31:21.842996,2025-11-07T16:31:23.548115,,,
60,58,2025-11-07T16:31:21.852627,ES,SELL,2,STOP,,6674.75,,,,,,Filled,2,6674.75,0.0,0.0,2025-11-07T16:31:21.852627,2025-11-07T16:31:23.545191,,,
64,,2025-11-07T16:31:31.028874,ES,BUY,2,MARKET,,,,6674.0,6681.5,,0.481037485968529,Filled,2,6673.5,0.0,0.0,2025-11-07T16:31:31.028874,2025-11-07T16:31:31.301379,,,
65,64,2025-11-07T16:31:31.031363,ES,SELL,2,LIMIT,6681.5,,,,,,,Cancelled,0,,,,2025-11-07T16:31:31.031363,2025-11-07T16:31:32.619560,,,
66,64,2025-11-07T16:31:31.033643,ES,SELL,2,STOP,,6674.0,,,,,,Filled,2,6673.25,0.0,0.0,2025-11-07T16:31:31.033643,2025-11-07T16:31:32.604633,,,
70,,2025-11-07T16:58:01.567700,ES,SELL,3,MARKET,,,,,,,,Filled,3,6657.75,0.0,0.0,2025-11-07T16:58:01.567700,2025-11-07T16:58:01.749627,,,
72,,2025-11-07T16:31:49.896415,ES,SELL,3,MARKET,,,,6677.75,6670.25,,0.500231301676946,Filled,3,6675.0,0.0,0.0,2025-11-07T16:31:49.896415,2025-11-07T16:31:50.156824,,,
73,72,2025-11-07T16:31:49.899231,ES,BUY,3,LIMIT,6670.25,,,,,,,Cancelled,0,,,,2025-11-07T16:31:49.899231,2025-11-07T16:35:06.177980,,,
74,72,2025-11-07T16:31:49.901520,ES,BUY,3,STOP,,6677.75,,,,,,Filled,3,6677.75,0.0,0.0,2025-11-07T16:31:49.901520,2025-11-07T16:35:06.176649,,,
