symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,realized_pnl,pnl_points,commission,exit_reason,entry_metadata,signal_type
ES,LONG,2025-02-04 09:15:00-06:00,6050.0,2025-02-04 10:15:00-06:00,6063.75,1,66.35,13.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=19 | RSI=77 | MACD_H=2.52 | e9=6030.7 | #1 | SL=11.1pts | TP=13.9pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 8.902706574126913, 'atr_value': 8.902706574126913, 'adx_value': 19.106596048758576, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 156}",TREND_CONT_LONG
ES,LONG,2025-02-04 10:30:00-06:00,6065.5,2025-02-04 10:45:00-06:00,6053.75,1,-61.15,11.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=28 | RSI=78 | MACD_H=3.81 | e9=6048.8 | #2 | SL=11.4pts | TP=14.2pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 9.104080297694606, 'atr_value': 9.104080297694606, 'adx_value': 28.11467925176353, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 161}",TREND_CONT_LONG
ES,LONG,2025-02-05 09:30:00-06:00,6050.75,2025-02-05 10:30:00-06:00,6063.0,1,58.85,12.25,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=23 | RSI=63 | MACD_H=1.01 | e9=6045.8 | #2 | SL=10.3pts | TP=12.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 8.22286549794284, 'atr_value': 8.22286549794284, 'adx_value': 23.063694721563785, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 249}",TREND_CONT_LONG
ES,LONG,2025-02-06 09:15:00-06:00,6101.5,2025-02-06 09:30:00-06:00,6092.75,1,-46.15,8.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=18 | RSI=56 | MACD_H=0.60 | e9=6098.9 | #1 | SL=6.8pts | TP=8.6pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 5.47805124252757, 'atr_value': 5.47805124252757, 'adx_value': 18.237398535332456, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 340}",TREND_CONT_LONG
ES,LONG,2025-02-11 10:00:00-06:00,6087.0,2025-02-11 11:00:00-06:00,6078.75,1,-43.65,8.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=20 | RSI=67 | MACD_H=2.24 | e9=6076.8 | #1 | SL=7.8pts | TP=9.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 6.254952164249715, 'atr_value': 6.254952164249715, 'adx_value': 20.262014409372114, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 619}",TREND_CONT_LONG
ES,LONG,2025-02-11 11:30:00-06:00,6083.25,2025-02-11 13:30:00-06:00,6093.75,1,50.1,10.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=19 | RSI=56 | MACD_H=0.55 | e9=6080.6 | #2 | SL=8.6pts | TP=10.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 6.915286898285632, 'atr_value': 6.915286898285632, 'adx_value': 18.571812639858845, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 625}",TREND_CONT_LONG
ES,LONG,2025-02-13 09:15:00-06:00,6091.5,2025-02-13 09:30:00-06:00,6103.75,1,58.85,12.25,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=24 | RSI=68 | MACD_H=2.18 | e9=6082.6 | #2 | SL=10.0pts | TP=12.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 8.025710382186771, 'atr_value': 8.025710382186771, 'adx_value': 23.77835429925403, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 800}",TREND_CONT_LONG
ES,LONG,2025-02-14 10:00:00-06:00,6140.75,2025-02-14 10:15:00-06:00,6134.0,1,-36.15,6.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=29 | RSI=61 | MACD_H=1.30 | ATR=4.9 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 4.8622069236017085, 'atr_value': 4.8622069236017085, 'adx_value': 28.644919543882956, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 895}",EMA21_PB_LONG
ES,LONG,2025-02-19 12:45:00-06:00,6152.5,2025-02-19 13:15:00-06:00,6160.25,1,36.35,7.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=22 | RSI=60 | MACD_H=1.23 | ATR=5.8 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 5.824291540626197, 'atr_value': 5.824291540626197, 'adx_value': 22.271437003117708, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 1166}",EMA21_PB_LONG
ES,LONG,2025-02-19 13:30:00-06:00,6162.5,2025-02-19 14:15:00-06:00,6154.5,1,-42.4,8.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=22 | RSI=66 | MACD_H=1.89 | e9=6152.7 | #2 | SL=7.7pts | TP=9.6pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 6.145761120537811, 'atr_value': 6.145761120537811, 'adx_value': 22.319995174191277, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 1169}",TREND_CONT_LONG
ES,LONG,2025-02-26 09:45:00-06:00,6015.5,2025-02-26 11:00:00-06:00,6004.5,1,-57.4,11.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=22 | RSI=64 | MACD_H=1.69 | e9=6003.6 | #2 | SL=10.7pts | TP=13.4pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 8.563132955520325, 'atr_value': 8.563132955520325, 'adx_value': 21.78761461230363, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 1614}",TREND_CONT_LONG
ES,LONG,2025-03-12 12:00:00-05:00,5604.75,2025-03-12 12:15:00-05:00,5619.25,1,70.1,14.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=23 | RSI=50 | MACD_H=0.62 | ATR=18.7 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 18.680452711240044, 'atr_value': 18.680452711240044, 'adx_value': 22.970234753376253, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2543}",EMA21_PB_LONG
ES,LONG,2025-03-14 10:00:00-05:00,5665.5,2025-03-14 10:30:00-05:00,5680.25,1,71.35,14.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA9_PB_LONG | ADX=25 | RSI=69 | ATR=12.1 | SL=12.1pts | TP=15.1pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema9_pullback', 'atr': 12.097652017900348, 'atr_value': 12.097652017900348, 'adx_value': 25.12408458324838, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2719}",EMA9_PB_LONG
ES,LONG,2025-03-19 09:15:00-05:00,5709.5,2025-03-19 09:30:00-05:00,5697.75,1,-61.15,11.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=19 | RSI=70 | MACD_H=2.05 | e9=5690.1 | #1 | SL=11.0pts | TP=13.7pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 8.791770133663546, 'atr_value': 8.791770133663546, 'adx_value': 18.635602886123102, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2992}",TREND_CONT_LONG
ES,LONG,2025-03-19 10:15:00-05:00,5706.25,2025-03-19 10:45:00-05:00,5720.5,1,68.85,14.25,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=22 | RSI=63 | MACD_H=1.79 | e9=5696.7 | #2 | SL=11.7pts | TP=14.6pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 9.364431403258136, 'atr_value': 9.364431403258136, 'adx_value': 22.434106437306728, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2996}",TREND_CONT_LONG
ES,LONG,2025-03-19 11:00:00-05:00,5718.25,2025-03-19 11:45:00-05:00,5708.0,1,-53.65,10.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA9_PB_LONG | ADX=26 | RSI=69 | ATR=9.8 | SL=9.8pts | TP=12.3pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema9_pullback', 'atr': 9.847724414343341, 'atr_value': 9.847724414343341, 'adx_value': 25.59178397072892, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2999}",EMA9_PB_LONG
ES,LONG,2025-03-25 09:30:00-05:00,5831.0,2025-03-25 10:45:00-05:00,5820.5,1,-54.9,10.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=22 | RSI=64 | MACD_H=-0.25 | ATR=6.7 | SL=10.0pts[STRUCT] | TP=13.2pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 6.66472896048116, 'atr_value': 6.66472896048116, 'adx_value': 21.889015738859037, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3361}",EMA21_PB_LONG
ES,LONG,2025-04-09 11:00:00-05:00,5009.25,2025-04-09 11:15:00-05:00,5048.75,1,195.1,39.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=23 | RSI=53 | MACD_H=1.84 | ATR=46.0 | SL=8.5pts[STRUCT] | TP=11.2pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 46.04107131200332, 'atr_value': 46.04107131200332, 'adx_value': 23.104866583652584, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4379}",EMA21_PB_LONG
