symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,realized_pnl,pnl_points,commission,exit_reason,entry_metadata,et,q,win
ES,LONG,2025-02-04 10:15:00-06:00,6059.25,2025-02-04 11:15:00-06:00,6047.25,1,-62.4,12.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=26 | RSI=75 | MACD_H=3.51 | e9=6044.6 | #1 | SL=11.4pts | TP=14.3pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 9.150548012901885, 'atr_value': 9.150548012901885, 'adx_value': 26.152199920549666, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 160}",2025-02-04 10:15:00-06:00,2025Q1,False
ES,LONG,2025-02-04 11:45:00-06:00,6049.75,2025-02-04 13:15:00-06:00,6064.5,1,71.35,14.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=27 | RSI=57 | MACD_H=-0.01 | ATR=9.6 | SL=11.0pts[STRUCT] | TP=14.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 9.561438381277005, 'atr_value': 9.561438381277005, 'adx_value': 27.242147661130463, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 166}",2025-02-04 11:45:00-06:00,2025Q1,True
ES,LONG,2025-02-05 12:00:00-06:00,6071.5,2025-02-05 14:00:00-06:00,6075.25,1,16.35,3.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=25 | RSI=73 | MACD_H=1.82 | e9=6065.2 | #1 | SL=10.1pts | TP=12.6pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 8.09516934548248, 'atr_value': 8.09516934548248, 'adx_value': 25.182628422335018, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 259}",2025-02-05 12:00:00-06:00,2025Q1,True
ES,LONG,2025-02-06 09:15:00-06:00,6101.5,2025-02-06 09:30:00-06:00,6092.75,1,-46.15,8.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=18 | RSI=56 | MACD_H=0.60 | ATR=5.5 | SL=8.0pts[STRUCT] | TP=10.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 5.47805124252757, 'atr_value': 5.47805124252757, 'adx_value': 18.237398535332456, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 340}",2025-02-06 09:15:00-06:00,2025Q1,False
ES,LONG,2025-02-11 11:30:00-06:00,6083.25,2025-02-11 13:30:00-06:00,6087.0,1,16.35,3.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=19 | RSI=56 | MACD_H=0.55 | ATR=6.9 | SL=11.8pts[STRUCT] | TP=15.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 6.915286898285632, 'atr_value': 6.915286898285632, 'adx_value': 18.571812639858845, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 625}",2025-02-11 11:30:00-06:00,2025Q1,True
ES,LONG,2025-02-14 10:00:00-06:00,6140.75,2025-02-14 10:15:00-06:00,6134.0,1,-36.15,6.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=29 | RSI=61 | MACD_H=1.30 | ATR=4.9 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 4.8622069236017085, 'atr_value': 4.8622069236017085, 'adx_value': 28.644919543882956, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 895}",2025-02-14 10:00:00-06:00,2025Q1,False
ES,LONG,2025-02-14 10:45:00-06:00,6136.0,2025-02-14 11:00:00-06:00,6129.25,1,-36.15,6.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=25 | RSI=51 | MACD_H=0.46 | ATR=5.4 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 5.3670803976504935, 'atr_value': 5.3670803976504935, 'adx_value': 25.2669066409854, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 898}",2025-02-14 10:45:00-06:00,2025Q1,False
ES,LONG,2025-02-14 13:00:00-06:00,6140.5,2025-02-14 13:30:00-06:00,6134.0,1,-34.9,6.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=18 | RSI=59 | MACD_H=0.44 | ATR=5.5 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 5.540078791911285, 'atr_value': 5.540078791911285, 'adx_value': 18.17235227636308, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 907}",2025-02-14 13:00:00-06:00,2025Q1,False
ES,LONG,2025-02-19 12:45:00-06:00,6152.5,2025-02-19 13:15:00-06:00,6160.25,1,36.35,7.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=22 | RSI=60 | MACD_H=1.23 | ATR=5.8 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 5.824291540626197, 'atr_value': 5.824291540626197, 'adx_value': 22.271437003117708, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 1166}",2025-02-19 12:45:00-06:00,2025Q1,True
ES,LONG,2025-03-12 12:00:00-05:00,5604.75,2025-03-12 12:15:00-05:00,5619.25,1,70.1,14.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=23 | RSI=50 | MACD_H=0.62 | ATR=18.7 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 18.680452711240044, 'atr_value': 18.680452711240044, 'adx_value': 22.970234753376253, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2543}",2025-03-12 12:00:00-05:00,2025Q1,True
ES,LONG,2025-03-12 13:30:00-05:00,5616.25,2025-03-12 13:45:00-05:00,5631.75,1,75.1,15.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=18 | RSI=53 | MACD_H=1.07 | ATR=18.6 | SL=11.8pts[STRUCT] | TP=15.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 18.562315429621144, 'atr_value': 18.562315429621144, 'adx_value': 18.259726696186316, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2549}",2025-03-12 13:30:00-05:00,2025Q1,True
ES,LONG,2025-03-14 10:00:00-05:00,5665.5,2025-03-14 10:30:00-05:00,5680.25,1,71.35,14.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA9_PB_LONG | ADX=25 | RSI=69 | ATR=12.1 | SL=12.1pts | TP=15.1pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema9_pullback', 'atr': 12.097652017900348, 'atr_value': 12.097652017900348, 'adx_value': 25.12408458324838, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2719}",2025-03-14 10:00:00-05:00,2025Q1,True
ES,LONG,2025-03-19 10:45:00-05:00,5711.5,2025-03-19 12:00:00-05:00,5701.5,1,-52.4,10.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA9_PB_LONG | ADX=24 | RSI=66 | ATR=9.6 | SL=9.6pts | TP=12.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema9_pullback', 'atr': 9.566780138523598, 'atr_value': 9.566780138523598, 'adx_value': 23.877944426744712, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2998}",2025-03-19 10:45:00-05:00,2025Q1,False
