symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,realized_pnl,pnl_points,commission,exit_reason,entry_metadata,sig
ES,LONG,2024-03-28 19:30:00+00:00,5319.5,2024-03-28 19:45:00+00:00,5311.75,1,-41.15,7.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=17 | RSI=64 | brkH=5318.75 | SL=7.2pt | TP=14.2pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 4.786696052085054, 'atr_value': 4.786696052085054, 'adx_value': 16.91557476720192, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 905}",MOM_BRK_LONG
ES,LONG,2024-04-23 14:45:00+00:00,5098.75,2024-04-23 16:45:00+00:00,5106.25,1,35.1,7.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=35 | RSI=84 | brkH=5096.00 | SL=10.6pt | TP=21.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 7.038006287735212, 'atr_value': 7.038006287735212, 'adx_value': 34.72839159521656, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2450}",MOM_BRK_LONG
ES,LONG,2024-05-15 14:45:00+00:00,5307.5,2024-05-15 16:45:00+00:00,5316.5,1,42.6,9.0,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=35 | RSI=78 | brkH=5303.25 | SL=9.4pt | TP=18.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.261756090420354, 'atr_value': 6.261756090420354, 'adx_value': 35.20589141383247, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3922}",MOM_BRK_LONG
ES,LONG,2024-05-15 17:15:00+00:00,5323.5,2024-05-15 19:15:00+00:00,5324.5,1,2.6,1.0,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=48 | RSI=83 | brkH=5321.50 | SL=7.8pt | TP=15.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.215756218365159, 'atr_value': 5.215756218365159, 'adx_value': 47.59252521677538, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3932}",MOM_BRK_LONG
ES,LONG,2024-06-05 15:30:00+00:00,5339.25,2024-06-05 17:30:00+00:00,5347.0,1,36.35,7.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=19 | RSI=71 | brkH=5337.75 | SL=8.9pt | TP=17.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.954217306800543, 'atr_value': 5.954217306800543, 'adx_value': 19.282450433940888, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5289}",MOM_BRK_LONG
ES,LONG,2024-06-12 14:15:00+00:00,5445.5,2024-06-12 16:15:00+00:00,5440.75,1,-26.15,4.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=50 | RSI=92 | brkH=5443.50 | SL=9.5pt | TP=19.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.305034654620212, 'atr_value': 6.305034654620212, 'adx_value': 50.26335722577367, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5744}",MOM_BRK_LONG
ES,LONG,2024-06-25 18:30:00+00:00,5536.25,2024-06-25 18:45:00+00:00,5527.0,1,-48.65,9.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=15 | RSI=64 | brkH=5532.25 | SL=8.7pt | TP=17.2pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.773985639306758, 'atr_value': 5.773985639306758, 'adx_value': 14.528946518280213, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 6573}",MOM_BRK_LONG
ES,LONG,2024-06-25 19:30:00+00:00,5538.5,2024-06-25 19:45:00+00:00,5529.5,1,-47.4,9.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=14 | RSI=64 | brkH=5536.25 | SL=8.8pt | TP=17.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.8903660934048405, 'atr_value': 5.8903660934048405, 'adx_value': 13.95732922812877, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 6577}",MOM_BRK_LONG
ES,LONG,2024-07-02 18:15:00+00:00,5556.0,2024-07-03 13:30:00+00:00,5564.0,1,37.6,8.0,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=29 | RSI=77 | brkH=5554.00 | SL=9.0pt | TP=18.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.973226935501914, 'atr_value': 5.973226935501914, 'adx_value': 29.47755381948584, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 7032}",MOM_BRK_LONG
ES,LONG,2024-07-05 17:30:00+00:00,5614.25,2024-07-05 19:30:00+00:00,5618.5,1,18.85,4.25,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=46 | RSI=67 | brkH=5612.75 | SL=8.1pt | TP=16.2pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.417355182609162, 'atr_value': 5.417355182609162, 'adx_value': 45.56293984876795, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 7274}",MOM_BRK_LONG
ES,LONG,2024-07-12 15:00:00+00:00,5682.75,2024-07-12 16:00:00+00:00,5672.0,1,-56.15,10.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=29 | RSI=88 | brkH=5681.50 | SL=10.3pt | TP=20.5pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.862740252913964, 'atr_value': 6.862740252913964, 'adx_value': 29.495441535311514, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 7724}",MOM_BRK_LONG
