symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,realized_pnl,pnl_points,commission,exit_reason,entry_metadata
MES,LONG,2025-04-24 13:45:00+00:00,5540.25,2025-04-24 15:45:00+00:00,5539.75,1,-4.9,0.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=22 | RSI=95 | MACD_H=2.24 | ATR=3.2', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 3.2421464968629543, 'atr_value': 3.2421464968629543, 'adx_value': 22.22066332409611, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 1017}"
MES,LONG,2025-06-23 17:45:00+00:00,6159.25,2025-06-23 19:45:00+00:00,6161.75,1,10.1,2.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=37 | RSI=63 | MACD_H=0.10 | ATR=6.2', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 6.2342873286455465, 'atr_value': 6.2342873286455465, 'adx_value': 37.416015356705266, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2091}"
MES,LONG,2025-06-25 17:30:00+00:00,6254.0,2025-06-25 19:30:00+00:00,6253.5,1,-4.9,0.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=27 | RSI=63 | MACD_H=-0.76 | ATR=1.6', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 1.556176476935804, 'atr_value': 1.556176476935804, 'adx_value': 26.695732445327867, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2235}"
MES,LONG,2025-06-26 16:00:00+00:00,6280.25,2025-06-26 18:00:00+00:00,6285.75,1,25.1,5.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'OR_BREAK_LONG | ADX=34 | OR_H=6254.00', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 1.8633529171642473, 'atr_value': 1.8633529171642473, 'adx_value': 34.145307744284175, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2310}"
MES,LONG,2025-06-30 19:15:00+00:00,6352.75,2025-06-30 19:45:00+00:00,6360.5,1,36.35,7.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=29 | RSI=68 | MACD_H=-0.09 | ATR=2.8', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 2.7633679810556036, 'atr_value': 2.7633679810556036, 'adx_value': 28.633595450940028, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2433}"
MES,LONG,2025-06-30 20:00:00+00:00,6365.5,2025-06-30 20:15:00+00:00,6344.75,1,-106.15,20.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=32 | RSI=78 | MACD_H=2.67 | e9=6347.4 | #1 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 3.12322137550261, 'atr_value': 3.12322137550261, 'adx_value': 31.661644341476, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2436}"
MES,LONG,2025-07-01 14:45:00+00:00,6346.25,2025-07-01 16:15:00+00:00,6354.0,1,36.35,7.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=20 | RSI=53 | MACD_H=-0.45 | ATR=2.8', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 2.8482945909698296, 'atr_value': 2.8482945909698296, 'adx_value': 19.87559118963963, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2447}"
MES,LONG,2025-07-01 16:30:00+00:00,6358.0,2025-07-01 18:30:00+00:00,6355.5,1,-14.9,2.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=22 | RSI=68 | MACD_H=0.96 | ATR=2.5', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 2.4732601106066867, 'atr_value': 2.4732601106066867, 'adx_value': 22.09151932651154, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2454}"
MES,LONG,2025-07-02 16:15:00+00:00,6365.25,2025-07-02 18:15:00+00:00,6369.75,1,20.1,4.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=27 | RSI=76 | MACD_H=2.65 | e9=6350.0 | #1 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 2.698194675283408, 'atr_value': 2.698194675283408, 'adx_value': 26.879992374462596, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2488}"
MES,LONG,2025-07-09 19:30:00+00:00,6406.75,2025-07-09 19:45:00+00:00,6414.5,1,36.35,7.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=30 | RSI=71 | MACD_H=-0.06 | ATR=1.9', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 1.8757886244992559, 'atr_value': 1.8757886244992559, 'adx_value': 30.044230369436775, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2844}"
