timestamp,signal_type,direction,entry_price,stop_loss,take_profit,confidence,adx,rsi,atr_current,atr_5ago,daily_bias,quarter,outcome,pnl_dollars,strategy_a,strategy_b,strategy_c
2024-12-16 19:45:00-06:00,EMA21_PB_LONG,LONG,6150.75,6144.75,6158.75,0.7,28.06014633481463,52.41039309058194,3.1518749297900834,3.5517347007334417,NEUTRAL,2024-Q4,TIMEOUT,5.0,False,False,True
2024-12-16 20:00:00-06:00,EMA21_PB_LONG,LONG,6152.0,6146.0,6160.0,0.7,26.33143943905733,55.15711338641339,3.0874552919479346,3.423039364966767,NEUTRAL,2024-Q4,TIMEOUT,-2.5,False,False,True
2024-12-16 20:30:00-06:00,EMA21_PB_LONG,LONG,6152.25,6146.25,6160.25,0.7,23.127256554938754,55.47276132227074,2.834336450710209,3.4157839422417537,NEUTRAL,2024-Q4,TIMEOUT,-1.25,False,False,True
2024-12-17 00:15:00-06:00,TREND_CONT_SHORT,SHORT,6142.0,6148.0,6134.5,0.7,25.224988022486183,29.355125053558922,2.2181944244761724,2.2316087245099494,NEUTRAL,2024-Q4,TIMEOUT,30.0,False,False,False
2024-12-17 00:30:00-06:00,TREND_CONT_SHORT,SHORT,6141.75,6147.75,6134.25,0.7,27.404261783184218,28.93015781921919,2.20260910844216,2.143636672759239,NEUTRAL,2024-Q4,TP_HIT,37.5,False,False,False
2024-12-18 10:15:00-06:00,EMA21_PB_LONG,LONG,6139.75,6133.75,6147.75,0.7,24.56325469097649,52.49780941706774,5.671100362938182,4.709095327940102,NEUTRAL,2024-Q4,TIMEOUT,-8.75,False,False,True
2024-12-18 10:30:00-06:00,EMA21_PB_LONG,LONG,6141.5,6135.5,6149.5,0.7,23.60639688068897,54.38951035336586,5.605307479871169,4.783445661658667,NEUTRAL,2024-Q4,SL_HIT,-30.0,False,False,True
2024-12-19 09:15:00-06:00,EMA21_PB_SHORT,SHORT,5961.25,5967.25,5953.25,0.7,23.50847739679729,39.83716411534492,11.35520713328997,7.434830905119525,BEARISH,2024-Q4,SL_HIT,-30.0,False,False,False
2024-12-26 21:15:00-06:00,EMA21_PB_SHORT,SHORT,6084.0,6090.0,6076.0,0.7,21.572786967571147,39.715248196420305,3.695225611067721,4.413972305017562,NEUTRAL,2024-Q4,TIMEOUT,3.75,False,False,False
2025-01-07 04:45:00-06:00,EMA21_PB_LONG,LONG,6027.75,6021.75,6035.75,0.7,23.172267647447548,60.828706487500476,4.5741954795408555,4.584253836157915,NEUTRAL,2025-Q1,SL_HIT,-30.0,False,False,True
