bar_idx,timestamp,signal_type,action,direction,entry_price,stop_loss,take_profit,confidence,adx,rsi,trend_score,trend_label,ema_spread,outcome,exit_price,pnl_points,pnl_dollars,bars_held,month
191,2024-12-16 19:45:00-06:00,EMA21_PB_LONG,BUY,LONG,6150.75,6144.75,6158.75,0.7,28.06014633481463,52.41039309058194,0.0,CHOP_RANGE,8.244592768697987e-06,TIMEOUT,6151.75,1.0,5.0,6,2024-12
192,2024-12-16 20:00:00-06:00,EMA21_PB_LONG,BUY,LONG,6152.0,6146.0,6160.0,0.7,26.33143943905733,55.15711338641339,0.0,CHOP_RANGE,8.562739034945113e-05,TIMEOUT,6151.5,-0.5,-2.5,6,2024-12
194,2024-12-16 20:30:00-06:00,EMA21_PB_LONG,BUY,LONG,6152.25,6146.25,6160.25,0.7,23.127256554938754,55.47276132227074,0.0,CHOP_RANGE,0.00020242691331291888,TIMEOUT,6152.0,-0.25,-1.25,6,2024-12
209,2024-12-17 00:15:00-06:00,TREND_CONT_SHORT,SELL,SHORT,6142.0,6148.0,6134.5,0.7,25.224988022486183,29.355125053558922,0.0,CHOP_RANGE,0.00029631370318679144,TIMEOUT,6136.0,6.0,30.0,6,2024-12
210,2024-12-17 00:30:00-06:00,TREND_CONT_SHORT,SELL,SHORT,6141.75,6147.75,6134.25,0.7,27.404261783184218,28.93015781921919,0.0,CHOP_RANGE,0.000422639848405227,TP_HIT,6134.25,7.5,37.5,6,2024-12
341,2024-12-18 10:15:00-06:00,EMA21_PB_LONG,BUY,LONG,6139.75,6133.75,6147.75,0.7,24.56325469097649,52.49780941706774,0.0,CHOP_RANGE,0.00013512352564121934,TIMEOUT,6138.0,-1.75,-8.75,6,2024-12
342,2024-12-18 10:30:00-06:00,EMA21_PB_LONG,BUY,LONG,6141.5,6135.5,6149.5,0.7,23.60639688068897,54.38951035336586,0.0,CHOP_RANGE,0.0002279165344252321,SL_HIT,6135.5,-6.0,-30.0,4,2024-12
429,2024-12-19 09:15:00-06:00,EMA21_PB_SHORT,SELL,SHORT,5961.25,5967.25,5953.25,0.7,23.50847739679729,39.83716411534492,0.0,CHOP_RANGE,0.0003639139298694778,SL_HIT,5967.25,-6.0,-30.0,1,2024-12
826,2024-12-26 21:15:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6084.0,6090.0,6076.0,0.7,21.572786967571147,39.715248196420305,0.0,CHOP_RANGE,0.00047320831727449246,TIMEOUT,6083.25,0.75,3.75,6,2024-12
1408,2025-01-07 04:45:00-06:00,EMA21_PB_LONG,BUY,LONG,6027.75,6021.75,6035.75,0.7,23.172267647447548,60.828706487500476,0.0,CHOP_RANGE,0.0004916787962214883,SL_HIT,6021.75,-6.0,-30.0,3,2025-01
2177,2025-01-19 21:30:00-06:00,EMA21_PB_LONG,BUY,LONG,6028.75,6022.75,6036.75,0.7,20.4906666469434,50.20193826885223,0.0,CHOP_RANGE,0.000279308646411605,TIMEOUT,6032.25,3.5,17.5,6,2025-01
2262,2025-01-20 23:45:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6039.0,6045.0,6031.0,0.7,30.26147684812278,44.04409888794403,0.0,CHOP_RANGE,0.0004050601477199382,TIMEOUT,6042.0,-3.0,-15.0,6,2025-01
2265,2025-01-21 00:30:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6037.25,6043.25,6029.25,0.7,31.25139611821006,43.00558361409238,0.0,CHOP_RANGE,0.00045014590567445215,SL_HIT,6043.25,-6.0,-30.0,4,2025-01
2273,2025-01-21 02:30:00-06:00,EMA21_PB_LONG,BUY,LONG,6051.5,6045.5,6059.5,0.7,25.57217026942388,59.042433134497294,0.0,CHOP_RANGE,0.00022744908227419064,TP_HIT,6059.5,8.0,40.0,5,2025-01
2431,2025-01-22 20:00:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6112.25,6118.25,6104.25,0.7,25.570806462740357,36.694534701664224,0.0,CHOP_RANGE,0.0004650181594633058,TIMEOUT,6114.25,-2.0,-10.0,6,2025-01
2434,2025-01-22 20:45:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6113.75,6119.75,6105.75,0.7,27.25757789905501,40.57774889739164,0.0,CHOP_RANGE,0.0004976782131279693,TIMEOUT,6116.25,-2.5,-12.5,6,2025-01
2564,2025-01-24 06:15:00-06:00,EMA21_PB_LONG,BUY,LONG,6149.0,6143.0,6157.0,0.7,24.8415136036439,60.168603157104876,0.0,CHOP_RANGE,0.00017540071243788154,SL_HIT,6143.0,-6.0,-30.0,3,2025-01
2566,2025-01-24 06:45:00-06:00,EMA21_PB_LONG,BUY,LONG,6146.0,6140.0,6154.0,0.7,21.985708228263643,52.21184624948357,0.0,CHOP_RANGE,0.00020050578149130637,TIMEOUT,6152.0,6.0,30.0,6,2025-01
2571,2025-01-24 08:00:00-06:00,EMA21_PB_LONG,BUY,LONG,6146.0,6140.0,6154.0,0.7,21.55256651144158,53.03996247473265,0.0,CHOP_RANGE,6.470356364452299e-05,TP_HIT,6154.0,8.0,40.0,2,2025-01
2572,2025-01-24 08:15:00-06:00,EMA21_PB_LONG,BUY,LONG,6152.0,6146.0,6160.0,0.7,21.427438729304026,62.8891756338603,0.0,CHOP_RANGE,0.0002650905020296733,TP_HIT,6160.0,8.0,40.0,2,2025-01
2936,2025-01-30 07:15:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6084.75,6090.75,6076.75,0.7,22.87827598439658,45.46227747153673,0.0,CHOP_RANGE,0.00040705711190502816,SL_HIT,6090.75,-6.0,-30.0,2,2025-01
2937,2025-01-30 07:30:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6081.25,6087.25,6073.25,0.7,23.77884931298543,41.28118482753043,0.0,CHOP_RANGE,0.0004938022128732429,SL_HIT,6087.25,-6.0,-30.0,1,2025-01
2939,2025-01-30 08:00:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6086.75,6092.75,6078.75,0.7,24.112948731160344,49.03197940864281,0.0,CHOP_RANGE,0.0002743628730787116,SL_HIT,6092.75,-6.0,-30.0,2,2025-01
2941,2025-01-30 08:30:00-06:00,EMA21_PB_LONG,BUY,LONG,6094.25,6088.25,6102.25,0.7,24.327940467168773,57.15593579968625,0.0,CHOP_RANGE,4.516500473915538e-05,TP_HIT,6102.25,8.0,40.0,1,2025-01
2942,2025-01-30 08:45:00-06:00,EMA21_PB_LONG,BUY,LONG,6099.25,6093.25,6107.25,0.7,23.885181335013613,61.66126937923549,0.0,CHOP_RANGE,0.00033865333995500735,SL_HIT,6093.25,-6.0,-30.0,1,2025-01
2944,2025-01-30 09:15:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6075.75,6081.75,6067.75,0.7,22.74252270653535,39.74509097090646,0.0,CHOP_RANGE,0.00014323985585391023,SL_HIT,6081.75,-6.0,-30.0,1,2025-01
3396,2025-02-06 07:15:00-06:00,EMA21_PB_LONG,BUY,LONG,6099.0,6093.0,6107.0,0.7,22.119279353042703,57.38455381490705,0.0,CHOP_RANGE,0.00039347361134086154,TIMEOUT,6096.0,-3.0,-15.0,6,2025-02
3431,2025-02-06 17:00:00-06:00,EMA21_PB_LONG,BUY,LONG,6098.25,6092.25,6106.25,0.7,20.07617701765844,53.23111997699811,0.0,CHOP_RANGE,0.0001612043038909876,TIMEOUT,6100.25,2.0,10.0,6,2025-02
3432,2025-02-06 17:15:00-06:00,EMA21_PB_LONG,BUY,LONG,6100.25,6094.25,6108.25,0.7,20.499092743442436,54.87494923312125,0.0,CHOP_RANGE,0.00028460100458870577,TIMEOUT,6103.25,3.0,15.0,6,2025-02
3434,2025-02-06 17:45:00-06:00,EMA21_PB_LONG,BUY,LONG,6100.25,6094.25,6108.25,0.7,21.170608976015846,54.81667933388086,0.0,CHOP_RANGE,0.0004353851581655148,TIMEOUT,6103.0,2.75,13.75,6,2025-02
3626,2025-02-10 19:45:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6076.0,6082.0,6068.0,0.7,26.127448148182086,41.500071053887886,0.0,CHOP_RANGE,0.00046900767847514474,TIMEOUT,6072.25,3.75,18.75,6,2025-02
3750,2025-02-12 03:45:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6082.5,6088.5,6074.5,0.7,21.35237362478008,38.722180688502874,0.0,CHOP_RANGE,0.00040679078111975105,TIMEOUT,6084.75,-2.25,-11.25,6,2025-02
3751,2025-02-12 04:00:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6081.25,6087.25,6073.25,0.7,22.748597048176812,36.36944210049696,0.0,CHOP_RANGE,0.00047558186816286407,SL_HIT,6087.25,-6.0,-30.0,4,2025-02
3753,2025-02-12 04:30:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6083.0,6089.0,6075.0,0.7,23.010957248738595,42.546161660764454,0.0,CHOP_RANGE,0.00044684030305383913,TIMEOUT,6087.0,-4.0,-20.0,6,2025-02
3953,2025-02-14 08:30:00-06:00,EMA21_PB_LONG,BUY,LONG,6139.0,6133.0,6147.0,0.7,25.14153169849852,64.58046136351214,0.0,CHOP_RANGE,0.00017931424925763731,SL_HIT,6133.0,-6.0,-30.0,4,2025-02
3954,2025-02-14 08:45:00-06:00,EMA21_PB_LONG,BUY,LONG,6140.0,6134.0,6148.0,0.7,26.09322008861056,66.04877904166997,0.0,CHOP_RANGE,0.0003631813817085826,SL_HIT,6134.0,-6.0,-30.0,3,2025-02
4265,2025-02-19 22:30:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6145.5,6151.5,6137.5,0.7,21.807371200477274,41.186523603905094,0.0,CHOP_RANGE,0.00041341228393016626,TIMEOUT,6144.5,1.0,5.0,6,2025-02
4266,2025-02-19 22:45:00-06:00,EMA21_PB_SHORT,SELL,SHORT,6145.0,6151.0,6137.0,0.7,23.14685193564191,40.365708573927655,0.0,CHOP_RANGE,0.0004589391671898373,TIMEOUT,6142.75,2.25,11.25,6,2025-02
4288,2025-02-20 04:15:00-06:00,EMA21_PB_LONG,BUY,LONG,6153.5,6147.5,6161.5,0.7,24.122847730180784,65.49328015624721,0.0,CHOP_RANGE,0.0003204794549447119,SL_HIT,6147.5,-6.0,-30.0,5,2025-02
4847,2025-02-28 06:00:00-06:00,EMA21_PB_SHORT,SELL,SHORT,5888.0,5894.0,5880.0,0.7,21.805771320763693,46.52914951610339,0.0,CHOP_RANGE,2.697856673773078e-05,SL_HIT,5894.0,-6.0,-30.0,1,2025-02
4849,2025-02-28 06:30:00-06:00,EMA21_PB_SHORT,SELL,SHORT,5887.0,5893.0,5879.0,0.7,21.504166710523872,45.62658104575871,0.0,CHOP_RANGE,0.0002776363043711539,SL_HIT,5893.0,-6.0,-30.0,2,2025-02
4851,2025-02-28 07:00:00-06:00,EMA21_PB_SHORT,SELL,SHORT,5888.0,5894.0,5880.0,0.7,21.191269597494887,47.18465988186302,0.0,CHOP_RANGE,0.00040206552935443285,SL_HIT,5894.0,-6.0,-30.0,2,2025-02
5069,2025-03-04 15:30:00-06:00,EMA21_PB_SHORT,SELL,SHORT,5819.5,5825.5,5811.5,0.7,25.711177518716237,50.08823874783513,0.0,CHOP_RANGE,0.00031892785907871,SL_HIT,5825.5,-6.0,-30.0,1,2025-03
5100,2025-03-05 00:15:00-06:00,EMA21_PB_SHORT,SELL,SHORT,5819.75,5825.75,5811.75,0.7,20.72387896426201,47.0474295102539,0.0,CHOP_RANGE,8.389245039022379e-05,SL_HIT,5825.75,-6.0,-30.0,1,2025-03
5103,2025-03-05 01:00:00-06:00,EMA21_PB_SHORT,SELL,SHORT,5824.25,5830.25,5816.25,0.7,20.744061951848785,49.94117083561303,0.0,CHOP_RANGE,5.249156944899743e-05,SL_HIT,5830.25,-6.0,-30.0,5,2025-03
5606,2025-03-12 11:45:00-05:00,EMA21_PB_LONG,BUY,LONG,5604.5,5598.5,5612.5,0.7,22.970234753376253,49.91335278995143,0.0,CHOP_RANGE,0.00017765006185216503,TP_HIT,5612.5,8.0,40.0,1,2025-03
5607,2025-03-12 12:00:00-05:00,EMA21_PB_LONG,BUY,LONG,5619.0,5613.0,5627.0,0.7,21.665750634291012,55.92981674899536,0.0,CHOP_RANGE,0.0002910960658280481,SL_HIT,5613.0,-6.0,-30.0,1,2025-03
5679,2025-03-13 07:00:00-05:00,EMA21_PB_SHORT,SELL,SHORT,5576.5,5582.5,5568.5,0.7,25.054287179932434,40.57732905215189,0.0,CHOP_RANGE,0.00035572772780697004,SL_HIT,5582.5,-6.0,-30.0,1,2025-03
5685,2025-03-13 08:30:00-05:00,EMA21_PB_SHORT,SELL,SHORT,5583.5,5589.5,5575.5,0.7,20.420667163808297,45.35936616038146,0.0,CHOP_RANGE,0.00017105059105067657,TP_HIT,5575.5,8.0,40.0,1,2025-03
5934,2025-03-18 01:45:00-05:00,EMA21_PB_LONG,BUY,LONG,5719.5,5713.5,5727.5,0.7,21.071701767186585,53.70453520313165,0.0,CHOP_RANGE,0.00016758979674160064,TP_HIT,5727.5,8.0,40.0,6,2025-03
6158,2025-03-20 11:45:00-05:00,EMA21_PB_SHORT,SELL,SHORT,5717.5,5723.5,5709.5,0.7,27.053937720090197,42.57996065326367,0.0,CHOP_RANGE,8.372782175704986e-05,SL_HIT,5723.5,-6.0,-30.0,1,2025-03
6580,2025-03-27 02:15:00-05:00,EMA21_PB_SHORT,SELL,SHORT,5761.5,5767.5,5753.5,0.7,22.254332398948808,46.66535807875808,0.0,CHOP_RANGE,9.811249793334576e-05,TP_HIT,5753.5,8.0,40.0,3,2025-03
6581,2025-03-27 02:30:00-05:00,EMA21_PB_SHORT,SELL,SHORT,5758.0,5764.0,5750.0,0.7,22.068501653674442,42.237238229475196,0.0,CHOP_RANGE,0.0003083635140229715,TP_HIT,5750.0,8.0,40.0,2,2025-03
7423,2025-04-09 06:00:00-05:00,EMA21_PB_SHORT,SELL,SHORT,4956.75,4962.75,4948.75,0.7,21.17781305202944,42.7495650646705,0.0,CHOP_RANGE,0.00025668786170377536,SL_HIT,4962.75,-6.0,-30.0,1,2025-04
7889,2025-04-16 07:30:00-05:00,EMA21_PB_SHORT,SELL,SHORT,5379.25,5385.25,5371.25,0.7,28.599979681750394,47.70485094119856,0.0,CHOP_RANGE,3.6480357840598485e-05,TP_HIT,5371.25,8.0,40.0,2,2025-04
7890,2025-04-16 07:45:00-05:00,EMA21_PB_SHORT,SELL,SHORT,5376.0,5382.0,5368.0,0.7,26.825678791134322,45.72163441961351,0.0,CHOP_RANGE,0.0002561907596044297,TP_HIT,5368.0,8.0,40.0,1,2025-04
9104,2025-05-06 12:15:00-05:00,EMA21_PB_SHORT,SELL,SHORT,5634.25,5640.25,5626.25,0.7,29.227627435325367,47.977674289705405,0.0,CHOP_RANGE,0.0003016369647870774,TP_HIT,5626.25,8.0,40.0,1,2025-05
9114,2025-05-06 14:45:00-05:00,EMA21_PB_SHORT,SELL,SHORT,5625.5,5631.5,5617.5,0.7,25.34918477998962,44.04194013652068,0.0,CHOP_RANGE,0.0002284146164874391,TP_HIT,5617.5,8.0,40.0,2,2025-05
9835,2025-05-16 11:00:00-05:00,EMA21_PB_LONG,BUY,LONG,5950.75,5944.75,5958.75,0.7,25.964841692664557,55.94949897537073,0.0,CHOP_RANGE,0.0004057486378775588,TP_HIT,5958.75,8.0,40.0,4,2025-05
9976,2025-05-20 00:15:00-05:00,EMA21_PB_LONG,BUY,LONG,5972.25,5966.25,5980.25,0.7,23.038189894143887,53.207728807032254,0.0,CHOP_RANGE,0.00029032323816902757,SL_HIT,5966.25,-6.0,-30.0,2,2025-05
9984,2025-05-20 02:15:00-05:00,EMA21_PB_LONG,BUY,LONG,5969.5,5963.5,5977.5,0.7,24.393061044997562,53.7276860025126,0.0,CHOP_RANGE,0.0002770283806028092,SL_HIT,5963.5,-6.0,-30.0,1,2025-05
10527,2025-05-28 04:00:00-05:00,EMA21_PB_SHORT,SELL,SHORT,5922.25,5928.25,5914.25,0.7,26.916734199954703,39.21956063618208,0.0,CHOP_RANGE,0.00040072031489524657,SL_HIT,5928.25,-6.0,-30.0,4,2025-05
10533,2025-05-28 05:30:00-05:00,EMA21_PB_LONG,BUY,LONG,5938.0,5932.0,5946.0,0.7,27.37473223762392,65.73818421483395,0.0,CHOP_RANGE,0.00012851230864500493,TIMEOUT,5941.25,3.25,16.25,6,2025-05
10886,2025-06-03 01:45:00-05:00,EMA21_PB_LONG,BUY,LONG,5926.5,5920.5,5934.5,0.7,30.509757816356974,49.16864273190488,0.0,CHOP_RANGE,0.00018486568249193513,SL_HIT,5920.5,-6.0,-30.0,2,2025-06
10888,2025-06-03 02:15:00-05:00,EMA21_PB_SHORT,SELL,SHORT,5913.5,5919.5,5905.5,0.7,30.853938537840058,32.275265911431205,0.0,CHOP_RANGE,0.000454488108866607,SL_HIT,5919.5,-6.0,-30.0,1,2025-06
10904,2025-06-03 06:15:00-05:00,EMA21_PB_LONG,BUY,LONG,5934.5,5928.5,5942.5,0.7,26.783005098171614,64.23965213440101,0.0,CHOP_RANGE,0.0004952345856842899,TP_HIT,5942.5,8.0,40.0,4,2025-06
11020,2025-06-04 12:15:00-05:00,EMA21_PB_LONG,BUY,LONG,5992.5,5986.5,6000.5,0.7,22.800373978794656,54.56717510302541,0.0,CHOP_RANGE,0.0002785063762621434,TIMEOUT,5989.5,-3.0,-15.0,6,2025-06
11021,2025-06-04 12:30:00-05:00,EMA21_PB_LONG,BUY,LONG,5992.75,5986.75,6000.75,0.7,21.452702920329383,54.78954818653344,0.0,CHOP_RANGE,0.00039867195306620307,TIMEOUT,5990.25,-2.5,-12.5,6,2025-06
11094,2025-06-05 07:45:00-05:00,EMA21_PB_LONG,BUY,LONG,5991.5,5985.5,5999.5,0.7,21.0154580775327,60.55854540238195,0.0,CHOP_RANGE,0.000302768211450747,SL_HIT,5985.5,-6.0,-30.0,3,2025-06
11432,2025-06-11 00:15:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6027.0,6033.0,6019.0,0.7,21.217327298346145,43.44334356693748,0.0,CHOP_RANGE,0.0004871665439124472,TIMEOUT,6027.25,-0.25,-1.25,6,2025-06
11433,2025-06-11 00:30:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6026.0,6032.0,6018.0,0.7,21.430216776418888,41.58809391709642,0.0,CHOP_RANGE,0.0004985793301923639,SL_HIT,6032.0,-6.0,-30.0,6,2025-06
11446,2025-06-11 03:45:00-05:00,EMA21_PB_LONG,BUY,LONG,6038.0,6032.0,6046.0,0.7,21.269891371691035,65.50887304636481,0.0,CHOP_RANGE,0.0004951220327587464,SL_HIT,6032.0,-6.0,-30.0,4,2025-06
12581,2025-06-27 15:30:00-05:00,EMA21_PB_LONG,BUY,LONG,6218.75,6212.75,6226.75,0.7,33.91649126870738,52.78054023144899,0.0,CHOP_RANGE,3.7587574735564775e-05,TP_HIT,6226.75,8.0,40.0,2,2025-06
12582,2025-06-27 15:45:00-05:00,EMA21_PB_LONG,BUY,LONG,6220.75,6214.75,6228.75,0.7,31.96670095068864,54.212368573398,0.0,CHOP_RANGE,0.0001459114589844045,TP_HIT,6228.75,8.0,40.0,1,2025-06
12670,2025-06-30 14:45:00-05:00,EMA21_PB_LONG,BUY,LONG,6251.5,6245.5,6259.5,0.7,22.34416280516819,61.62192399446377,0.0,CHOP_RANGE,0.00047560920040056164,SL_HIT,6245.5,-6.0,-30.0,1,2025-06
12708,2025-07-01 01:15:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6242.25,6248.25,6234.25,0.7,20.590134817255898,35.94475887717819,0.0,CHOP_RANGE,0.00039727011890055235,SL_HIT,6248.25,-6.0,-30.0,3,2025-07
12709,2025-07-01 01:30:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6242.25,6248.25,6234.25,0.7,21.390291698430886,35.94475887717819,0.0,CHOP_RANGE,0.00043197559323452614,SL_HIT,6248.25,-6.0,-30.0,2,2025-07
12824,2025-07-02 07:15:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6246.5,6252.5,6238.5,0.7,25.76134546348777,33.643156249762725,0.0,CHOP_RANGE,0.00048340140356731596,TP_HIT,6238.5,8.0,40.0,1,2025-07
13317,2025-07-10 00:15:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6292.75,6298.75,6284.75,0.7,27.14089819111466,43.14345861381952,0.0,CHOP_RANGE,0.00029822259603575537,TIMEOUT,6290.5,2.25,11.25,6,2025-07
13318,2025-07-10 00:30:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6291.75,6297.75,6283.75,0.7,27.565196658084695,41.09337628057748,0.0,CHOP_RANGE,0.000321298182750623,TIMEOUT,6289.5,2.25,11.25,6,2025-07
13320,2025-07-10 01:00:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6290.75,6296.75,6282.75,0.7,28.06930941760678,40.15479818093619,0.0,CHOP_RANGE,0.00034196921187411105,TIMEOUT,6293.75,-3.0,-15.0,6,2025-07
13321,2025-07-10 01:15:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6289.5,6295.5,6281.5,0.7,28.960917200634483,37.843267290890466,0.0,CHOP_RANGE,0.000404865421257246,SL_HIT,6295.5,-6.0,-30.0,6,2025-07
13323,2025-07-10 01:45:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6290.5,6296.5,6282.5,0.7,29.722825171225796,40.95670146749461,0.0,CHOP_RANGE,0.0004313914020714876,SL_HIT,6296.5,-6.0,-30.0,5,2025-07
13324,2025-07-10 02:00:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6289.5,6295.5,6281.5,0.7,29.931397863876665,38.8772282624972,0.0,CHOP_RANGE,0.0004637710364890383,SL_HIT,6295.5,-6.0,-30.0,3,2025-07
13330,2025-07-10 03:30:00-05:00,EMA21_PB_LONG,BUY,LONG,6301.0,6295.0,6309.0,0.7,25.427779364502765,65.33990039938554,0.0,CHOP_RANGE,0.00019518375394662234,SL_HIT,6295.0,-6.0,-30.0,4,2025-07
13335,2025-07-10 04:45:00-05:00,EMA21_PB_LONG,BUY,LONG,6298.0,6292.0,6306.0,0.7,22.147091258584922,55.37702039801199,0.0,CHOP_RANGE,0.00030879153434714714,TP_HIT,6306.0,8.0,40.0,6,2025-07
13336,2025-07-10 05:00:00-05:00,EMA21_PB_LONG,BUY,LONG,6299.25,6293.25,6307.25,0.7,21.80873480922124,57.83394903261992,0.0,CHOP_RANGE,0.0003520925791830868,TP_HIT,6307.25,8.0,40.0,6,2025-07
13338,2025-07-10 05:30:00-05:00,EMA21_PB_LONG,BUY,LONG,6301.0,6295.0,6309.0,0.7,21.744472971450826,60.69443189573145,0.0,CHOP_RANGE,0.00043318137028113294,TP_HIT,6309.0,8.0,40.0,4,2025-07
13528,2025-07-14 07:00:00-05:00,EMA21_PB_LONG,BUY,LONG,6283.25,6277.25,6291.25,0.7,21.813219286532604,58.038728789864365,0.0,CHOP_RANGE,0.0004601939998643892,TP_HIT,6291.25,8.0,40.0,5,2025-07
13732,2025-07-16 12:00:00-05:00,EMA21_PB_LONG,BUY,LONG,6297.25,6291.25,6305.25,0.7,25.670991606328315,59.42086570796159,0.0,CHOP_RANGE,0.0004518216936983638,SL_HIT,6291.25,-6.0,-30.0,2,2025-07
13898,2025-07-18 07:30:00-05:00,EMA21_PB_LONG,BUY,LONG,6346.25,6340.25,6354.25,0.7,21.62956742296329,50.05255427111342,0.0,CHOP_RANGE,9.762078290496603e-05,SL_HIT,6340.25,-6.0,-30.0,6,2025-07
13899,2025-07-18 07:45:00-05:00,EMA21_PB_LONG,BUY,LONG,6348.0,6342.0,6356.0,0.7,20.64510831831325,55.25994637386359,0.0,CHOP_RANGE,8.040389530635537e-06,SL_HIT,6342.0,-6.0,-30.0,5,2025-07
13900,2025-07-18 08:00:00-05:00,EMA21_PB_LONG,BUY,LONG,6352.0,6346.0,6360.0,0.7,21.090547617444795,64.39690026589163,0.0,CHOP_RANGE,0.00016222444526174087,SL_HIT,6346.0,-6.0,-30.0,1,2025-07
14639,2025-07-30 08:45:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6409.75,6415.75,6401.75,0.7,20.04992996070997,44.47264587996113,0.0,CHOP_RANGE,0.00017073806463438246,SL_HIT,6415.75,-6.0,-30.0,2,2025-07
14640,2025-07-30 09:00:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6409.25,6415.25,6401.25,0.7,20.788122316477903,43.39609897154762,0.0,CHOP_RANGE,0.0002184163015008811,SL_HIT,6415.25,-6.0,-30.0,1,2025-07
15097,2025-08-06 08:15:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6335.0,6341.0,6327.0,0.7,20.278764793778592,43.02022202547024,0.0,CHOP_RANGE,0.00041083158593094754,SL_HIT,6341.0,-6.0,-30.0,2,2025-08
15379,2025-08-11 09:45:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6409.25,6415.25,6401.25,0.7,20.59328728953757,30.89104493606638,0.0,CHOP_RANGE,0.0004566456818315385,SL_HIT,6415.25,-6.0,-30.0,4,2025-08
15390,2025-08-11 12:30:00-05:00,EMA21_PB_SHORT,SELL,SHORT,6409.0,6415.0,6401.0,0.7,20.239048229182508,39.35524954452185,0.0,CHOP_RANGE,0.00042550920854472237,TP_HIT,6401.0,8.0,40.0,4,2025-08
